GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene ID
CG9752	FBgn0034614	FBtr0071616	FBpp0071542	37431
CG8586	FBgn0033320	FBtr0339345	FBpp0308443	35854
CG8586	FBgn0033320	FBtr0339344	FBpp0308442	35854
CG8586	FBgn0033320	FBtr0088725	FBpp0087804	35854
TEJ	FBgn0033921	FBtr0087562	FBpp0086689	36590
PDE11	FBgn0085370	FBtr0303162	FBpp0292261	35107
PDE11	FBgn0085370	FBtr0343830	FBpp0310380	35107
PDE11	FBgn0085370	FBtr0343831	FBpp0310381	35107
PDE11	FBgn0085370	FBtr0112544	FBpp0111456	35107
PDE11	FBgn0085370	FBtr0112545	FBpp0111457	35107
PDE11	FBgn0085370	FBtr0303163	FBpp0292262	35107
CG10638	FBgn0036290	FBtr0345350	FBpp0311505	39424
CG10638	FBgn0036290	FBtr0089321	FBpp0088362	39424
CG10638	FBgn0036290	FBtr0089322	FBpp0089012	39424
CG16836	FBgn0040735	FBtr0086666	FBpp0085847	50208
TOB	FBgn0028397	FBtr0074255	FBpp0074033	32574
TOB	FBgn0028397	FBtr0310446	FBpp0302594	32574
TOB	FBgn0028397	FBtr0301652	FBpp0290866	32574
TOB	FBgn0028397	FBtr0310317	FBpp0302000	32574
TM4SF	FBgn0020372	FBtr0100255	FBpp0099644	37786
TM4SF	FBgn0020372	FBtr0072130	FBpp0072039	37786
TM4SF	FBgn0020372	FBtr0330600	FBpp0303450	37786
OBP73A	FBgn0036681	FBtr0113177	FBpp0112090	2768955
CG9018	FBgn0035318	FBtr0072910	FBpp0072788	38283
CG9018	FBgn0035318	FBtr0072909	FBpp0072787	38283
CG13064	FBgn0040796	FBtr0089378	FBpp0088999	2768963
OR98A	FBgn0039551	FBtr0085226	FBpp0084595	43341
GRIP	FBgn0029830	FBtr0343413	FBpp0310059	50391
GRIP	FBgn0029830	FBtr0070865	FBpp0070830	50391
GRIP	FBgn0029830	FBtr0343414	FBpp0310060	50391
CG14650	FBgn0037252	FBtr0078926	FBpp0078566	40566
CG4078	FBgn0029798	FBtr0332398	FBpp0304672	31497
CG4078	FBgn0029798	FBtr0070807	FBpp0070773	31497
CG33946	FBgn0047000	FBtr0347286	FBpp0312529	26067038
CG32413	FBgn0052413	FBtr0305274	FBpp0293798	318018
GYC76C	FBgn0266136	FBtr0302282	FBpp0291488	8674026
GYC76C	FBgn0266136	FBtr0302282	FBpp0291488	40153
GYC76C	FBgn0266136	FBtr0302281	FBpp0291487	8674026
GYC76C	FBgn0266136	FBtr0302281	FBpp0291487	40153
GYC76C	FBgn0266136	FBtr0333879	FBpp0306011	8674026
GYC76C	FBgn0266136	FBtr0333879	FBpp0306011	40153
GYC76C	FBgn0266136	FBtr0302280	FBpp0291486	8674026
GYC76C	FBgn0266136	FBtr0302280	FBpp0291486	40153
TANGO4	FBgn0030365	FBtr0073622	FBpp0073459	32168
CG11333	FBgn0039850	FBtr0085789	FBpp0085150	43714
