Gene stable ID	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	Gene name
YNR048W	855784	P53740	
YLR031W	850718	Q07978	
YBR094W	852391	P38254	PBY1
YHR201C	856608	P38698	PPX1
YHR103W	856503	P38814	SBE22
YEL037C	856674	P32628	RAD23
YGL260W	852631	P53056	
YOR327C	854505	P33328	SNC2
YER134C	856873	P40081	
YBR258C	852561	P38337	SHG1
YCR024C	850388	P25345	SLM5
YPL278C	855851	Q08990	
YKL115C		P36073	
YOR352W	854534	Q08816	TFB6
YKL107W	853753	P34251	
Q0182		Q9ZZW1	
YOR348C	854530	P15380	PUT4
YFR007W	850558	P43591	YFH7
YCR065W	850429	P25364	HCM1
YPR086W	856201	P29055	SUA7
YLR189C	850886	Q06321	ATG26
YGR179C	853090	P53298	OKP1
YBR201W	852500	P38307	DER1
YNL302C	855414	P07281	RPS19B
YLR358C	851072	O13565	
YER088C	856822	P40059	DOT6
YOL115W	854034	P53632	PAP2
YNL045W	855682	Q10740	LAP2
YFL065C	850479	P43539	
YML110C	854930	P49017	COQ5
YPR117W	856233	Q06116	
YDL144C	851411	Q07589	
YHR213W	856620	P0CI66	
YHR213W	856620	P0CI67	
YER175C	856922	P32643	TMT1
YGR011W		P53205	
YPL096C-A	856008	P62651	ERI1
YDR306C	851900	Q06640	
YML047W-A		A0A023PZG9	
YDR292C	851886	P32916	SRP101
YNL125C	855598	P53918	ESBP6
YDL009C	851553	Q12210	
YDR290W		P87280	
YBR070C	852362	P38242	ALG14
YOR066W	854232	Q08471	MSA1
YER021W	856742	P40016	RPN3
YKL127W	853732	P33401	PGM1
YCR087W		P25652	
YNL207W	855514	P40160	RIO2
YNR011C	855745	P20095	PRP2
YLR134W	850825	P16467	PDC5
YER004W	856721	P40008	FMP52
YLR051C	850740	Q12035	FCF2
YDR282C	851876	Q05648	MRX10
YKL165C-A		P0C5P5	
YIL162W	854644	P00724	SUC2
YDR170C	851748	P11075	SEC7
YHR153C	856558	P17122	SPO16
YHR082C	856482	P38691	KSP1
YPR092W		O13586	
YBR198C	852497	P38129	TAF5
YML007W	855005	P19880	YAP1
YIL104C	854702	P40486	SHQ1
YLR466C-B		Q8TGJ4	
YKR049C	853923	P36141	FMP46
YIL077C	854733	P40508	
YHR069C-A		A0A023PZI4	
YDR174W	851754	Q03973	HMO1
YLR215C	850912	Q05791	CDC123
YNL241C	855480	P11412	ZWF1
YNL112W	855611	P24783	DBP2
YDL218W	851308	Q07629	
YPL086C	856019	Q02908	ELP3
YDL062W		Q07410	
YOR072W-A		P0C5R2	
YFL038C	850505	P01123	YPT1
YDL048C	851512	Q07351	STP4
YNL249C	855472	P53583	MPA43
YOL096C	854057	P27680	COQ3
YKL052C	853814	P35734	ASK1
YMR190C	855228	P35187	SGS1
YKL053C-A	853812	O60200	MDM35
YBL056W	852224	P34221	PTC3
YBL099W	852177	P07251	ATP1
YHR020W	856413	P38708	
YNL270C	855451	P38971	ALP1
YBR257W	852560	P38336	POP4
YBR126W-A	13393614	Q8TGU7	MEO1
YBR242W	852544	P38331	
YNL115C	855608	P53925	
YDR500C	852111	P51402	RPL37B
YPR005C	856113	Q01766	HAL1
YCR034W	850400	P25358	
YGL111W	852767	P53136	NSA1
YER087C-A		A0A023PYE9	
YDR112W		A0A023PXB5	IRC2
YPR046W	856159	Q12262	MCM16
YFR015C	850569	P23337	GSY1
YEL017W	856698	P39996	GTT3
YKL121W	853738	P32330	DGR2
YLR206W	850903	Q05785	ENT2
YIR032C	854850	P32459	DAL3
YOR020C	854185	P38910	HSP10
YBL008W	852275	P32479	HIR1
YMR225C	855265	P19956	MRPL44
YCL052C	850305	P25580	PBN1
YNL073W	855651	P32048	MSK1
YJR156C	853621	P47183	THI11
YMR264W	855306	P38428	CUE1
YDR538W	852150	P33751	PAD1
YLR201C	850898	Q05779	COQ9
YPL269W	855859	P32526	KAR9
YGR073C		P53247	
YOR133W	854301	P32324	EFT1
YOR133W	851993	P32324	EFT1
YNL082W	855642	P14242	PMS1
YLL018C	850643	P04802	DPS1
YLL025W	850635	Q12370	PAU17
YHR057C	856454	P23285	CPR2
YAL047C	851250	P39723	SPC72
YBR181C	856015	P0CX37	RPS6B
YBR181C	852479	P0CX37	RPS6B
YBR181C	856015	P0CX38	RPS6B
YBR181C	852479	P0CX38	RPS6B
YIL007C	854810	P40555	NAS2
YNL097C-B	1466513	P0C271	
YNR034W-A	855770	Q3E841	EGO4
YDL011C		Q12023	
YMR037C	855053	P33748	MSN2
YDR355C		P87285	
YCR004C	850360	P25349	YCP4
YLR392C	851108	P18634	ART10
YHL024W	856361	P38741	RIM4
YPL135C-A		Q8TGK9	
YPR105C	856220	Q06096	COG4
YKL050C	853816	P35736	
YDR301W	851895	Q06632	CFT1
YHR128W	856529	P18562	FUR1
YDR412W	852021	Q04031	RRP17
YDR530C	852143	P22108	APA2
YER106W	856843	P40065	MAM1
YNL296W		P53828	
YDR227W	851813	P11978	SIR4
YNL138W-A	1466511	P0C074	YSF3
YJL063C	853382	P22353	MRPL8
YDR041W	851611	Q03201	RSM10
YER066C-A		P87263	
YML024W	854984	P02407	RPS17A
YAL029C	851204	P32492	MYO4
YIL021W	854791	P16370	RPB3
YLR063W	850752	Q12291	BMT6
YPL158C	855945	Q99299	AIM44
YIR020C	854837	P40575	
YNL196C	855525	P40167	SLZ1
YLR124W		Q12327	
YML083C	854891	Q04526	
YAR031W	851282	P39551	PRM9
YDR015C		Q12195	
YMR182W-A	1466502	Q8TGS7	
YGR155W	853059	P32582	CYS4
YLR350W	851064	Q06144	ORM2
YLR312C	851021	Q06159	
YNL109W		P53928	
YMR030W	855045	Q05043	RSF1
YDL008W	851554	Q12157	APC11
YNL101W	855622	P50944	AVT4
YGL114W	852764	P53134	
YJR159W	853624	P35497	SOR1
YJR094C	853556	P21190	IME1
YGL255W	852637	P32804	ZRT1
YCR059C	850423	P25637	YIH1
YNR012W	855746	P27515	URK1
YDR234W	851820	P49367	LYS4
YHR047C	856443	P37898	AAP1
YDR511W	852123	Q04401	SDH7
YNL114C		P53926	
YDR519W	852131	P32472	FPR2
YER117W	852191	P0CX42	RPL23B
YER117W	856853	P0CX42	RPL23B
YER117W	852191	P0CX41	RPL23B
YER117W	856853	P0CX41	RPL23B
YOR356W	854538	Q08822	CIR2
YLR204W	850901	P32344	QRI5
YKL194C	853640	P07236	MST1
YNL237W	855484	P53584	YTP1
YPL094C	856011	P21825	SEC62
YGR066C	852957	P53242	
YMR187C	855225	Q03236	
YHL026C	856359	P38740	
YBR052C	852341	P38234	RFS1
YMR238W	855278	Q05031	DFG5
YOR208W	854383	P29461	PTP2
YLL007C	850653	Q07799	LMO1
YLR141W	850832	Q02983	RRN5
YPR176C	856306	P20133	BET2
YIL038C	854773	P06102	NOT3
YDL086C-A		Q8TGP8	
YJL028W	853425	P47062	
YHR197W	856604	P38883	RIX1
YKR037C	853909	P36131	SPC34
YML061C	854941	P07271	PIF1
YLL038C	850621	Q07872	ENT4
YLR257W	850961	Q06146	
YMR130W	855160	Q04223	
YKL059C	853806	P35728	MPE1
YGR233C	853148	P17442	PHO81
YDR250C		Q03788	
YNL084C	855640	P39013	END3
YCR096C	850458	P0CY13	HMRA2
YHR028C	856423	P18962	DAP2
YDR465C	852076	Q03305	RMT2
YPL191C	855910	Q08930	
YPR204C-A	4594642	P0CX95	
YPR204C-A	4594642	P0CX96	
YPR204C-A	4594642	P0CX98	
YPR204C-A	4594642	P0CX94	
YPR204C-A	4594642	P0CX97	
YHR134W	856536	P38838	WSS1
YGR092W	852984	P22204	DBF2
YKL205W	853630	P33418	LOS1
YIR011C	854828	P38637	STS1
YNL289W	855427	P24867	PCL1
YER145C-A		A0A023PYF4	
YKL137W	853721	P36064	CMC1
YDL001W	851563	Q03441	RMD1
YER076W-A		A0A023PXJ3	
YMR005W	855017	P50105	TAF4
YGL041W-A	5814844	P0C5N3	
YBR093C	852390	P00635	PHO5
YDR454C	852065	P15454	GUK1
YKR015C	853885	P36111	
YCR028C-A	850395	P32445	RIM1
YHR122W	856522	P38829	CIA2
YLR108C	850798	Q12259	
YJL101C	853344	P32477	GSH1
YFR009W-A		P0C5M9	
YLR163W-A		P0C5P6	
YDR013W	851576	Q12488	PSF1
YMR054W	855076	P37296	STV1
YMR209C	855249	Q03648	
YGR171C	853081	P22438	MSM1
YLR416C		Q06695	
YLR375W	851089	Q05937	STP3
YDR076W	851648	P38953	RAD55
YER187W	856937	P40102	
YER046W-A		A0A023PZF5	
YOR357C	854539	Q08826	SNX3
YLR287C-A	850994	P0CX34	RPS30A
YLR287C-A	854354	P0CX34	RPS30A
YLR287C-A	850994	P0CX33	RPS30A
YLR287C-A	854354	P0CX33	RPS30A
YDL095W	851462	P33775	PMT1
YOR277C		Q08736	
YCL021W-A	850338	Q96VH3	
YDL007C-A	3799969	Q2V2Q0	
YPR163C	856292	P34167	TIF3
YLR154W-E		Q8TGM5	
YML102W	854869	Q04199	CAC2
YOR276W	854450	P12962	CAF20
YLR155C	850850	P0CZ17	ASP3-1
YLR155C	850852	P0CZ17	ASP3-1
YLR155C	850855	P0CZ17	ASP3-1
YLR155C	850857	P0CZ17	ASP3-1
YLR155C	850850	P0CX77	ASP3-1
YLR155C	850852	P0CX77	ASP3-1
YLR155C	850855	P0CX77	ASP3-1
YLR155C	850857	P0CX77	ASP3-1
YLR155C	850850	P0CX79	ASP3-1
YLR155C	850852	P0CX79	ASP3-1
YLR155C	850855	P0CX79	ASP3-1
YLR155C	850857	P0CX79	ASP3-1
YLR155C	850850	P0CX78	ASP3-1
YLR155C	850852	P0CX78	ASP3-1
YLR155C	850855	P0CX78	ASP3-1
YLR155C	850857	P0CX78	ASP3-1
YOR247W	854421	Q08673	SRL1
YNL171C		P53887	
YHR067W	856464	P38790	HTD2
YGL171W	852704	P45818	ROK1
YBR049C	852338	P21538	REB1
YGL029W	852854	P53188	CGR1
YBR056W	852346	P38081	
YMR194W	855232	P05745	RPL36A
YGR040W	852931	P14681	KSS1
YFL060C	850484	P43544	SNO3
YNL208W	855513	P40159	
YDL130W	851427	P10622	RPP1B
YFR043C	850604	P43615	IRC6
YJL056C	853390	P47043	ZAP1
YHL037C		P38733	
YNL010W	855722	P53981	
YLR003C	850689	Q07897	CMS1
YDR100W	851677	Q03860	TVP15
YGR220C	853135	P31334	MRPL9
YLR221C	850918	Q05942	RSA3
YNL134C	855588	P53912	
YGR268C	853185	P40325	HUA1
YDR479C	852090	Q03370	PEX29
YIL046W	854765	P39014	MET30
YLR355C	851069	P06168	ILV5
YER168C	856915	P21269	CCA1
YBL030C	852250	P18239	PET9
YLR464W	851185	P0CX17	
YLR464W	856632	P0CX17	
YLR464W	851185	P0CX16	
YLR464W	856632	P0CX16	
YLR446W	851167	Q06204	
YKL146W	853710	P36062	AVT3
YKR003W	853872	Q02201	OSH6
YNR053C	855789	P53742	NOG2
YKL028W	853840	P36100	TFA1
YJR041C	853498	P47108	URB2
YGL147C	852730	P05738	RPL9A
YPL229W	855872	Q99395	
YIL157C	854649	P40452	COA1
YMR252C	855294	Q04814	
YGR144W	853047	P32318	THI4
YER124C	856861	P40077	DSE1
YGR178C	853089	P53297	PBP1
YDL117W	851440	Q07533	CYK3
YDR140W	851718	Q03920	MTQ2
YDR381W	851988	Q12159	YRA1
YPR160W	856289	P06738	GPH1
YIL171W-A		A0A023PXN9	
YIL171W-A		P40891	
YMR164C	855200	Q03825	MSS11
YGR113W	853010	P53267	DAM1
YGL203C	852670	P09620	KEX1
YOL047C	854110	Q08218	LDS2
YOR221C	854396	Q12283	MCT1
YKR010C	853880	Q02208	TOF2
YGL048C	852834	Q01939	RPT6
YIL121W	854685	P40474	QDR2
YMR074C	855096	Q04773	SDD2
YLR237W	850938	Q05998	THI7
YDR327W		P87288	
YDR062W	851634	P40970	LCB2
YFL049W	850495	P43554	SWP82
YML065W	854937	P54784	ORC1
YPL049C	856058	Q03063	DIG1
YOR344C	854525	P33122	TYE7
YFR052C-A		A0A023PZH4	
YIR038C	854856	P40582	GTT1
YOR269W	854443	P39946	PAC1
YJL080C	853365	P06105	SCP160
YHR013C	856404	P07347	ARD1
YAL027W	851206	P39735	SAW1
YGR207C	853121	P42940	CIR1
YPL066W	856039	Q12194	RGL1
YOR152C	854323	Q99325	ATG40
YDR143C	851721	P22470	SAN1
YPL183W-A	855918	O14464	RTC6
YNL231C	855490	P53860	PDR16
YER095W	856831	P25454	RAD51
YAR073W		P39567	IMD1
YEL028W		P39989	
YDL172C		Q12135	
YNL230C	855491	P53861	ELA1
YPL235W	855841	Q12464	RVB2
YMR243C	855284	P20107	ZRC1
YJR091C	853553	P47135	JSN1
YBR141C	852438	P38278	BMT2
YGR258C	853174	P07276	RAD2
YPL141C	855962	Q03002	FRK1
YGL091C	852789	P52920	NBP35
YBR226C		P38322	
YHR137W	856539	P38840	ARO9
YGR093W	852985	P53255	DRN1
YOR103C	854270	P46964	OST2
YDL053C	851507	Q07362	PBP4
YDR223W	851809	Q04930	CRF1
YKL193C	853641	P36047	SDS22
YDL037C	851524	Q12140	BSC1
YOR377W	854559	P40353	ATF1
YBL005W	852278	P33200	PDR3
YDL167C	851387	P32770	NRP1
YBR151W	852448	P38281	APD1
YNL339W-B		P0CL34	
YNL339W-B		P0CL35	
YNL339W-B		P0CL36	
YDR246W-A	1466436	Q3E763	
YIR027C	854845	P32375	DAL1
YJR013W	853470	P47088	GPI14
YGR119C	853016	P48837	NUP57
YLR441C	851162	P33442	RPS1A
YNL258C	855463	P53847	DSL1
YDR371C-A		P0C5M1	
YLR178C	850875	P14306	TFS1
YDR517W	852129	Q04410	GRH1
YJL222W	853233	P40890	VTH2
YMR145C	855176	P40215	NDE1
YIL088C	854721	P40501	AVT7
YOR129C	854296	Q99222	AFI1
YFR028C	850585	Q00684	CDC14
YML071C	854904	Q04632	COG8
YMR015C	855029	P54781	ERG5
YBR144C		P34215	
YCL064C	850295	P25379	CHA1
YOL038C-A	1466476	Q3E7Z9	
YGR213C	853127	P53047	RTA1
YML070W	854932	P54838	DAK1
YHR158C	856563	P38853	KEL1
YGR061C	852952	P38972	ADE6
YGL182C		P53103	
YJL121C	853322	P46969	RPE1
YDL226C	851372	P35197	GCS1
YOR156C	854327	Q12216	NFI1
YGR139W		P53284	
YDR467C		P87264	
YOR329C	854507	P34758	SCD5
YLR028C	850715	P54113	ADE16
YER045C	856769	P39970	ACA1
YFR010W-A		P0C5N0	
YPR144C	856267	Q06512	NOC4
YPL249C-A	855826	O14455	RPL36B
YLR043C	850732	P22217	TRX1
YMR125W	855155	P34160	STO1
YDL134C	851421	P23594	PPH21
YGR121C	853019	P40260	MEP1
YMR325W	855375	P0CE85	PAU19
YPR128C	856246	Q06497	ANT1
YER088W-B		Q8TGR4	
YMR141W-A		P0C5Q4	
YDR117C	851695	Q04600	TMA64
YGL043W	852839	P07273	DST1
YDR314C	851909	Q06665	RAD34
YPR054W	856167	P41808	SMK1
YHR038W	856433	P38771	RRF1
YFR051C	850612	P43621	RET2
YOR351C	854533	P24719	MEK1
YOL040C	854117	Q01855	RPS15
YJL138C	853303	P10081	TIF2
YJL138C	853933	P10081	TIF2
YIR028W	854846	Q04895	DAL4
YML072C	854903	Q03640	TCB3
YJR047C	853506	P19211	ANB1
YJL151C	853290	P14359	SNA3
YNL328C	855388	P42834	MDJ2
YDR440W	852050	Q04089	DOT1
YML105C	854866	P29478	SEC65
YMR119W-A		A0A023PZL2	
YKL212W	853668	P32368	SAC1
YAL033W	851200	P28005	POP5
YLR218C			COA4
YCR028C	850394	P25621	FEN2
YDR303C	851897	Q06639	RSC3
YIL001W	854816	P40560	
YGR280C	853197	P53335	PXR1
YFR016C	850570	P43597	
YDL078C	851481	P32419	MDH3
YMR069W	855091	Q04751	NAT4
YDL238C	851360	Q07729	GUD1
YGL085W	852795	P53153	LCL3
YGL031C	852852	P04449	RPL24A
YNL081C	855643	P53937	SWS2
YOL159C-A	854005	Q3E769	
YOR051C	854216	Q08421	ETT1
YOR003W	854164	P25036	YSP3
YER086W	856819	P00927	ILV1
YBR178W		P38296	
YAR015W	851272	P27616	ADE1
YDR529C	852142	P00128	QCR7
YJL057C	853389	P47042	IKS1
YKL147C		P36061	
YCR082W	850443	P25649	AHC2
YBR138C	852435	P38277	
YDR437W	852047	Q04082	GPI19
YOR064C	854230	Q08465	YNG1
YJL218W	853237	P40892	
YMR293C	855338	Q03557	HER2
YLR243W	850944	Q06543	GPN3
YER188C-A	1466538	P0C0V2	
YGR117C	853014	P53270	
YGR254W	853169	P00924	ENO1
YDL196W		Q12187	
YDR452W	852063	Q04119	PPN1
YML124C	854915	P09734	TUB3
YER148W	856891	P13393	SPT15
YOR073W	854240	Q08490	SGO1
YDR445C		Q04100	
YLR148W	850840	P27801	PEP3
YJR087W		P47132	
YGR235C	853150	P50087	
YPL156C	855947	Q12498	PRM4
YGL124C	852753	P53129	MON1
YHR042W	856438	P16603	NCP1
YMR090W	855115	Q04304	
YJL130C	853311	P07259	URA2
YFR032C	850591	P43607	RRT5
YDR347W	851948	P10662	MRP1
YBL090W	852188	P38175	MRP21
YKL054C	853811	P35732	DEF1
YEL022W	856691	P39993	GEA2
YNR037C	855773	P53733	RSM19
YJL069C	853376	P40362	UTP18
YGR236C	853151	P50088	SPG1
YML029W	854979	Q03714	USA1
YMR171C	855207	Q03212	EAR1
YIL173W	854634	P40438	VTH1
YKR096W	853971	P36168	ESL2
YKL006C-A	853863	P43682	SFT1
YHR028W-A		A0A023PXE8	
YPL173W	855930	P36534	MRPL40
YBL105C	852169	P24583	PKC1
YLR162W-A	1466416	Q3E811	RRT15
YKL164C	853692	Q03178	PIR1
YLR462W	851184	O13556	
YPR098C	856213	Q06089	
YDR490C	852101	Q03407	PKH1
YDR516C	852128	Q04409	EMI2
YOR201C	854376	P25270	MRM1
YJL045W	853405	P47052	
YOR065W	854231	P07143	CYT1
YEL001C	856717	P40006	IRC22
YGL164C	852712	P53107	YRB30
YDR509W		P87272	
YBL102W	852172	P38166	SFT2
YCL061C	850297	P25588	MRC1
YMR102C	855128	Q03177	
YOR186W	854358	Q08560	
YDL193W	851334	Q12063	NUS1
YDL137W	851418	P19146	ARF2
YGR293C		P53342	
YBL011W	852271	P32784	SCT1
YDL118W		Q07535	
YHL049C	856336	P38722	
YBR095C	852392	P38255	RXT2
YER056C	856783	P17064	FCY2
YHR041C	856437	P34162	SRB2
YER087C-B	856821	P52870	SBH1
YOR045W	854210	P33448	TOM6
YJL091C	853354	P47026	GWT1
YEL013W	856702	P39968	VAC8
YOL018C	854142	Q08144	TLG2
YNR063W	855800	P53749	
YDR235W	851821	Q03776	PRP42
YBR196C-B	1466448	Q3E778	
YLR095C	850784	Q12072	IOC2
YBL048W		P38192	RRT1
YDR233C	851819	Q04947	RTN1
YHR069C	856466	P38792	RRP4
YGR264C	853181	P00958	MES1
YMR188C	855226	Q03246	MRPS17
YKL145W-A		P0C5P3	
YHR200W	856607	P38886	RPN10
YPL260W	855867	Q08977	CUB1
YMR269W	855311	Q03525	TMA23
YDR388W	851996	P39743	RVS167
YOL133W	853986	Q08273	HRT1
YBR066C	852358	P38082	NRG2
YNL339C	855377	P53819	YRF1-6
YJL033W	853419	P20448	HCA4
YGL234W	852617	P07244	ADE5,7
YPL251W		Q12058	
YGL109W			
YER074W	854741	P0CX32	RPS24A
YER074W	856805	P0CX32	RPS24A
YER074W	854741	P0CX31	RPS24A
YER074W	856805	P0CX31	RPS24A
YJR122W	853586	P47158	IBA57
YJL041W			NSP1
YPL016W	856091	P09547	SWI1
YPR095C	856210	Q06836	SYT1
YOR087W	854255	Q12324	YVC1
YGL238W	852612	P33307	CSE1
YIL177C	854630	P40434	
YER133W-A		A0A023PZC3	
YDR209C		Q03480	
YMR128W	855158	Q04217	ECM16
YKL026C	853842	P36014	GPX1
YMR039C	855055	P54000	SUB1
YDR049W	851618	Q04311	VMS1
YDL194W	851333	P10870	SNF3
YPR079W	856194	Q06815	MRL1
YBR292C		P38357	
YGL041C-B	1466454	Q3E750	
YER119C-A		P87191	
YDR021W	851584	Q12099	FAL1
YLR199C	850896	Q05778	PBA1
YPR010C	856119	P22138	RPA135
YHR053C	856450	P0CX80	CUP1-1
YHR053C	856452	P0CX80	CUP1-1
YHR053C	856450	P0CX81	CUP1-1
YHR053C	856452	P0CX81	CUP1-1
YEL063C	856646	P04817	CAN1
YKL044W	853822	P36092	MMO1
YBR018C	852306	P08431	GAL7
YKL089W	853773	P35201	MIF2
YDR353W	851955	P29509	TRR1
YNR060W	855797	P53746	FRE4
YDR051C	851621	Q99288	DET1
YLR154W-A		Q8TGM7	
YGR056W	852947	P53236	RSC1
YIL054W	854757	P40524	
YCL073C	850289	P25596	GEX1
YMR230W	855270	P46784	RPS10B
YFL001W	850550	P31115	DEG1
YLR154C	850847	Q12338	RNH203
YJL065C	853381	P40366	DLS1
YMR267W	855309	P28239	PPA2
YOL028C	854129	Q08182	YAP7
YJR148W	853613	P47176	BAT2
YJL123C	853319	P47018	MTC1
YHR218W	856628	P38899	
YMR247C	855289	Q04781	RKR1
YOL086C	854068	P00330	ADH1
YNL287W	855429	P32074	SEC21
YLL064C	855813	P0CE90	PAU18
YLL064C	850662	P0CE90	PAU18
YLL064C	855813	P0CE91	PAU18
YLL064C	850662	P0CE91	PAU18
YCR013C		P25614	
YMR152W	855183	P28625	YIM1
YEL051W	856659	P32610	VMA8
YNL095C	855629	P53932	
YHR021W-A	856416	O13529	ECM12
YOL108C	854042	P13902	INO4
YER190C-B	4594642	P0CX95	
YER190C-B	4594642	P0CX96	
YER190C-B	4594642	P0CX98	
YER190C-B	4594642	P0CX94	
YER190C-B	4594642	P0CX97	
YLR461W	851183	P53427	PAU4
YCR090C	850452	P25654	
YGR201C	853115	P42936	
YBR194W	852493	P38305	AIM4
YDR288W	851882	Q05541	NSE3
YDR141C	851719	Q03921	DOP1
YPL046C	856061	Q03071	ELC1
YBR076C-A		P0C5L2	
YOL023W	854135	P25038	IFM1
YAL044W-A	851252	Q3E793	BOL1
YBR108W	852405	P38266	AIM3
YGR239C	853154	P50091	PEX21
YDR194C	851775	P15424	MSS116
YDR424C	852034	Q02647	DYN2
YOR011W-A	1466479	Q3E807	
YAL041W	851190	P11433	CDC24
YIL148W	854658	P0CH09	RPL40A
YIL148W	853969	P0CH09	RPL40A
YIL148W	854658	P0CH08	RPL40A
YIL148W	853969	P0CH08	RPL40A
YOR165W	854336	Q99287	SEY1
YEL061C	856648	P27895	CIN8
YJL046W	853401	P47051	AIM22
YLR265C	850970	Q06148	NEJ1
YIR017W-A		Q03885	
YER059W	856787	P40038	PCL6
YBR046C	852335	P38230	ZTA1
YMR251W-A	855293	Q05827	HOR7
YNL096C	855628	P48164	RPS7B
YLR428C		O13564	
YCR084C	850445	P16649	TUP1
YMR146C	855177	P40217	TIF34
YNL282W	855439	P53833	POP3
YOL068C	854086	P53685	HST1
YJR123W	853587	P26783	RPS5
YLR242C	850943	Q06541	ARV1
YMR228W	855268	P14908	MTF1
YMR032W	855048	Q05080	HOF1
YKR077W	853952	P36157	MSA2
YLR351C	851065	P49954	NIT3
YOR138C	854306	Q12242	RUP1
YDR054C	851624	P14682	CDC34
YLR306W	851015	P52491	UBC12
YHR114W	856514	P38822	BZZ1
YBR235W	852537	P38329	VHC1
YGR169C-A	1466460	Q3E772	
YDR122W	851700	P13185	KIN1
YNL047C	855680	P53955	SLM2
YPL021W	856086	Q02710	ECM23
YHR039C	856434	P38694	MSC7
YHL019W-A		A0A023PXL1	
YOR016C	854181	Q12450	ERP4
YGR185C	853097	P36421	TYS1
YPL268W	855860	P32383	PLC1
YDR184C	851765	Q04005	ATC1
YLR130C	850821	Q12436	ZRT2
YJR118C	853582	P47155	ILM1
YPL283C	853213	P0CX14	YRF1-7
YPL283C	855846	P0CX14	YRF1-7
YPL283C	853213	P0CX15	YRF1-7
YPL283C	855846	P0CX15	YRF1-7
YHR152W	856557	P17123	SPO12
YGR189C	853102	P53301	CRH1
YER091C-A		Q02590	
YLL028W	850631	Q07824	TPO1
YJL071W	853374	P40360	ARG2
YBR274W	852577	P38147	CHK1
YNL139C	855583	P53552	THO2
YIL145C	854661	P40459	PAN6
YLR183C	850880	Q06266	TOS4
YOL121C	854028	P07280	RPS19A
YGR022C		P53213	
YGR290W		P53339	
YGL205W	852667	P13711	POX1
YIR006C	854822	P32521	PAN1
YPL206C	855895	Q08959	PGC1
YOL126C	853994	P22133	MDH2
YPR055W	856168	P32855	SEC8
YNL298W	855418	P48562	CLA4
YER140W	856883	P40085	EMP65
YEL056W	856654	P39984	HAT2
YLR042C	850731	Q07990	
YHL046W-A		A0A023PYG5	
YER084W-A		A0A023PZG0	
YLR396C	851112	P20795	VPS33
YLR122C		Q12312	
YJR015W	853472	P47090	
YIL013C	854802	P40550	PDR11
YLR326W	851036	Q06170	
YLR024C	850711	Q07963	UBR2
YLR442C	851163	P06701	SIR3
YER036C	856758	P40024	ARB1
YOR235W		Q08630	IRC13
YBL006C	852277	P38210	LDB7
YOR080W	854247	Q08496	DIA2
YBR186W	852484	P38126	PCH2
YOR169C		Q08540	
YOR028C	854193	P40917	CIN5
YGL221C	852651	P53081	NIF3
YCR050C	850417	P25630	
YDR183C-A		P0C5M3	
YGL108C	852770	P53139	
YOR225W		Q12225	
YPR138C	856260	P53390	MEP3
YKR095W-A	1500489	Q3E833	PCC1
YJR102C	853566	P47142	VPS25
YDL240W	851358	P35688	LRG1
YDR056C	851626	Q12025	EMC10
YKL079W	853783	P32364	SMY1
YNL113W	855609	P28000	RPC19
YMR013C-A		P0C5Q3	
YLR380W	851096	Q06705	CSR1
YNR003C	855737	P32910	RPC34
YNL316C	855400	P32452	PHA2
YEL009C	856709	P03069	GCN4
YNL016W	855716	P32588	PUB1
YOR108C-A		Q8TGL6	
YBR277C		P38350	
YDR541C	852154	Q03049	
YPL243W	855833	P38687	SRP68
YIL114C	854692	P40478	POR2
YHL011C	856375	P38689	PRS3
YER079C-A		A0A023PZB8	
YNL330C	855386	P32561	RPD3
YLR061W	850750	P05749	RPL22A
YKL161C	853696	P36005	KDX1
YFR037C	850598	P43609	RSC8
YPR127W	856245	Q06494	
YKL159C	853698	P36054	RCN1
YIR035C	854853	P40579	
YPL095C	856010	Q02891	EEB1
YGL069C		P53162	
YPR027C	856138	Q12079	
YJL004C	853453	P41544	SYS1
YDL042C	851520	P06700	SIR2
YIR007W	854824	P40566	EGH1
YNR010W	855744	P33308	CSE2
YHR129C	856530	P38696	ARP1
YDR185C	851766	Q04006	UPS3
YLR386W	851102	Q06708	VAC14
YOR109W	854276	Q12271	INP53
YJL155C	853286	P32604	FBP26
YDR328C	851928	P52286	SKP1
YLR387C	851103	Q06709	REH1
YIL113W	854693	P40479	SDP1
YJL154C	853287	P34110	VPS35
YAL019W-A		A0A023PXA5	
YGL135W	855881	P0CX44	RPL1B
YGL135W	852742	P0CX44	RPL1B
YGL135W	855881	P0CX43	RPL1B
YGL135W	852742	P0CX43	RPL1B
YDR280W	851874	Q05636	RRP45
YCR099C	850463	P25657	
YMR001C-A	1466498	Q8TGS9	
YPL232W	855844	P32867	SSO1
YKR030W	853901	P36125	GMH1
YDR098C	851672	Q03835	GRX3
YLR422W	851141	Q06409	DCK1
YJR107W	853571	P47145	LIH1
YDR005C	851568	P41910	MAF1
YEL053W-A		A0A023PXC2	
YHR199C	856606	P38885	AIM46
YBR185C	852483	P38300	MBA1
YKL037W	853829	P32858	AIM26
YDR423C	852033	P24813	CAD1
YJL035C	853417	P47058	TAD2
YOL093W	854060	Q12400	TRM10
YDR017C	851580	Q12494	KCS1
YIL036W	854775	P40535	CST6
YJR089W	853551	P47134	BIR1
YPL124W	855979	P33419	SPC29
